id	filename	md5	size	state
89c5d505-8926-40d0-9229-d46c1a241ffe	C509.TCGA-93-7347-10A-01D-2184-08.1_gdc_realn.bam	55cfacf944f476dfd1701b063e6eaa8b	11801466556	live
3c6a99c8-0e87-44b1-b1ab-127fdddc5c24	C509.TCGA-05-5423-01A-01D-1625-08.1_gdc_realn.bam	3b0e621c6f35d9aea6ee8973734c77c5	8254279065	live
b492ef4e-c43b-4d96-8512-8fb2e4b8bdad	nationwidechildrens.org_clinical.TCGA-62-A46Y.xml	a22947a0eed35e93c6189d02b3319817	43925	live
842d84c7-1b47-4d88-b61d-319bf92fd94f	C509.TCGA-62-A472-01A-11D-A24D-08.2_gdc_realn.bam	74a7b6779ee2d848d4b17a21ca2c4c01	6965256602	live
9675ffea-750e-4488-aeaf-30776df0d33e	9675ffea-750e-4488-aeaf-30776df0d33e.vcf.gz	a3c55c7eb49cf233b034d68c3c5352db	111916	live
52390a5c-3c61-4fd4-ab9e-0307ceccb6d9	52390a5c-3c61-4fd4-ab9e-0307ceccb6d9.vcf.gz	1de54b42cf18347f1190b1927a0cba88	178128	live
52305b1b-a53e-401e-bacf-e867027862fb	IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_F11_808396.nocnv_grch38.seg.txt	72fe70e6e75c61dfef3b1113988b5ae3	13635	live
ba7ba9aa-bc76-4b36-977a-8ec2ff37361d	LOOBY_p_TCGAb58_SNP_N_GenomeWideSNP_6_D05_680250.grch38.seg.txt	73987284f1eadc3bdca71ce5cc385617	53672	live
f4f8a40c-ba39-4318-9c7a-b50bea64d98a	34dfd211-d264-4904-b595-a50b36f15c36.htseq.counts.gz	ccfffd0e47aa95d811918a1a8f74bd97	251215	live
e2384460-7bb8-4d5a-845b-2386ef2c950b	e2384460-7bb8-4d5a-845b-2386ef2c950b.vcf	e5da09ed4c8fb6c4cbcd21f810a40e0e	235569	live
a7f2cd4d-4cb7-406a-8753-a5d16d2dfd0a	a7f2cd4d-4cb7-406a-8753-a5d16d2dfd0a.vep.vcf.gz	ec4d5ef5193a87cb79d1732c661cf6a6	5575877	live
62efe129-991f-4b15-b73a-527273100336	nationwidechildrens.org_biospecimen.TCGA-50-5936.xml	65515ab24ac0586dcadbac4b1702ced2	75425	live
924c3d0f-d09d-4a89-b740-5b3173624350	56377a11-c1b6-4515-9ab5-bc4b2131b065.mirbase21.isoforms.quantification.txt	ee1a0a58eaf198def8b6a20338ef4b01	407308	live
418096ff-ec21-43f5-9deb-fb7f6c67beb5	12f480e2-870d-4812-b5e1-b65ab4abf568.htseq.counts.gz	5159428d8d5de00eda4acfbd7fe93573	251817	live
974a323a-a4f9-4d43-898a-765656c4d928	974a323a-a4f9-4d43-898a-765656c4d928.vep.vcf.gz	97179f34fdf7bc8ac68fe9a8a8c31777	306028	live
